time,open,high,low,close,volume
2026-07-02 19:25:47,160,160.36,155.5,158.51,20086525
2026-07-02 19:40:47,158.51,161.5,156.14,158.99,46047467
2026-07-02 19:55:47,158.99,160.74,154.46,156.25,40686785
2026-07-02 20:10:47,156.25,156.49,150.06,151.59,42101503
2026-07-02 20:25:47,151.59,153.07,149.26,151.75,21972580
2026-07-02 20:40:47,151.75,153.74,146.06,148.03,28569819
2026-07-02 20:55:47,148.03,149.89,144.84,146.88,40076028
2026-07-02 21:10:47,146.88,147.69,144.21,146.35,37759708
2026-07-02 21:25:47,146.35,148.51,143.19,143.6,47489290
2026-07-02 21:40:47,143.6,144.0,140.76,142.57,44475252
2026-07-02 21:55:47,142.57,144.76,139.34,140.0,12162701
2026-07-02 22:10:47,140.0,144.41,139.54,143.86,18295957
2026-07-02 22:25:47,143.86,144.87,139.1,141.22,10102684
2026-07-02 22:40:47,141.22,145.86,140.2,143.73,31873503
2026-07-02 22:55:47,143.73,144.71,139.54,142.05,42244161
2026-07-02 23:10:47,142.05,144.24,138.2,139.96,20408639
2026-07-02 23:25:47,139.96,141.11,137.28,139.2,43754118
2026-07-02 23:40:47,139.2,140.47,138.52,138.73,22904849
2026-07-02 23:55:47,138.73,140.58,136.63,138.01,21149246
2026-07-03 00:10:47,138.01,139.41,137.64,139.24,45547757
2026-07-03 00:25:47,139.24,141.81,135.42,137.36,36781247
2026-07-03 00:40:47,137.36,144.13,134.88,141.39,34031112
2026-07-03 00:55:47,141.39,145.85,140.7,145.39,28113233
2026-07-03 01:10:47,145.39,148.25,142.38,144.82,42934048
2026-07-03 01:25:47,144.82,148.19,144.02,147.3,36139976
2026-07-03 01:40:47,147.3,147.46,145.84,147.28,11041675
2026-07-03 01:55:47,147.28,150.74,147.1,149.23,45994519
2026-07-03 02:10:47,149.23,152.15,146.98,147.96,7949114
2026-07-03 02:25:47,147.96,149.72,143.1,145.34,9515851
2026-07-03 02:40:47,145.34,147.68,142.15,142.94,18664079
2026-07-03 02:55:47,142.94,147.47,141.56,147.0,32478497
2026-07-03 03:10:47,147.0,148.69,143.27,143.97,27942021
2026-07-03 03:25:47,143.97,145.44,142.02,142.89,39570148
2026-07-03 03:40:47,142.89,144.61,139.94,141.31,30341691
2026-07-03 03:55:47,141.31,143.68,138.21,140.66,44510702
2026-07-03 04:10:47,140.66,146.69,138.98,143.95,4668696
2026-07-03 04:25:47,143.95,144.87,142.71,143.05,21334789
2026-07-03 04:40:47,143.05,143.63,139.21,140.38,40281978
2026-07-03 04:55:47,140.38,141.9,138.33,139.02,4436300
2026-07-03 05:10:47,139.02,141.43,139.0,139.47,46450771
2026-07-03 05:25:47,139.47,143.64,139.34,143.01,1913659
2026-07-03 05:40:47,143.01,147.51,140.81,147.06,19504093
2026-07-03 05:55:47,147.06,150.7,146.94,150.42,4511443
2026-07-03 06:10:47,150.42,153.16,147.84,151.85,33377633
2026-07-03 06:25:47,151.85,155.61,151.03,154.05,45919036
2026-07-03 06:40:47,154.05,157.98,151.49,156.12,33812598
2026-07-03 06:55:47,156.12,157.88,153.04,157.67,1843884
2026-07-03 07:10:47,157.67,158.94,152.21,153.08,27553000
2026-07-03 07:25:47,153.08,153.75,148.23,151.06,32491029
2026-07-03 07:40:47,151.06,151.9,148.35,150.08,29774639
2026-07-03 07:55:47,150.08,152.73,145.03,146.1,29663190
2026-07-03 08:10:47,146.1,148.68,141.04,143.25,23582610
2026-07-03 08:25:47,143.25,149.81,140.94,146.92,7113480
2026-07-03 08:40:47,146.92,147.19,143.46,144.64,24329665
2026-07-03 08:55:47,144.64,147.5,144.01,144.65,19380790
2026-07-03 09:10:47,144.65,147.12,142.02,145.94,10218646
2026-07-03 09:25:47,145.94,148.39,143.53,146.4,21840635
2026-07-03 09:40:47,146.4,149.15,144.89,146.76,17999781
2026-07-03 09:55:47,146.76,147.35,144.02,145.43,33623298
2026-07-03 10:10:47,145.43,147.55,140.8,141.56,18180938
