time,open,high,low,close,volume
2026-07-02 19:25:47,2.5,2.55,2.46,2.47,46962692
2026-07-02 19:40:47,2.47,2.5,2.44,2.49,4647948
2026-07-02 19:55:47,2.49,2.5,2.43,2.46,36326063
2026-07-02 20:10:47,2.46,2.51,2.38,2.4,48424124
2026-07-02 20:25:47,2.4,2.45,2.38,2.42,13311452
2026-07-02 20:40:47,2.42,2.5,2.41,2.48,49447589
2026-07-02 20:55:47,2.48,2.55,2.43,2.51,43036957
2026-07-02 21:10:47,2.51,2.54,2.49,2.51,14102891
2026-07-02 21:25:47,2.51,2.56,2.45,2.47,37514670
2026-07-02 21:40:47,2.47,2.56,2.47,2.54,23856513
2026-07-02 21:55:47,2.54,2.65,2.54,2.6,27556468
2026-07-02 22:10:47,2.6,2.66,2.58,2.64,43983703
2026-07-02 22:25:47,2.64,2.69,2.63,2.67,28246918
2026-07-02 22:40:47,2.67,2.74,2.66,2.7,46673591
2026-07-02 22:55:47,2.7,2.78,2.68,2.73,38004787
2026-07-02 23:10:47,2.73,2.77,2.65,2.69,9213565
2026-07-02 23:25:47,2.69,2.71,2.57,2.61,30945832
2026-07-02 23:40:47,2.61,2.65,2.58,2.61,28423142
2026-07-02 23:55:47,2.61,2.65,2.54,2.56,16973344
2026-07-03 00:10:47,2.56,2.61,2.51,2.53,38220929
2026-07-03 00:25:47,2.53,2.54,2.42,2.46,36553662
2026-07-03 00:40:47,2.46,2.49,2.41,2.48,11838473
2026-07-03 00:55:47,2.48,2.55,2.43,2.52,28306971
2026-07-03 01:10:47,2.52,2.56,2.47,2.47,35177653
2026-07-03 01:25:47,2.47,2.52,2.39,2.42,43321487
2026-07-03 01:40:47,2.42,2.43,2.35,2.37,8760016
2026-07-03 01:55:47,2.37,2.42,2.37,2.4,23449844
2026-07-03 02:10:47,2.4,2.45,2.38,2.39,2007871
2026-07-03 02:25:47,2.39,2.43,2.28,2.32,26886282
2026-07-03 02:40:47,2.32,2.35,2.24,2.28,34928778
2026-07-03 02:55:47,2.28,2.38,2.25,2.34,28688914
2026-07-03 03:10:47,2.34,2.44,2.32,2.4,19467954
2026-07-03 03:25:47,2.4,2.43,2.4,2.42,8534871
2026-07-03 03:40:47,2.42,2.44,2.4,2.44,47016206
2026-07-03 03:55:47,2.44,2.54,2.41,2.5,13855767
2026-07-03 04:10:47,2.5,2.51,2.43,2.46,25147645
2026-07-03 04:25:47,2.46,2.48,2.46,2.48,27069961
2026-07-03 04:40:47,2.48,2.48,2.4,2.41,35212583
2026-07-03 04:55:47,2.41,2.42,2.33,2.34,34064110
2026-07-03 05:10:47,2.34,2.34,2.26,2.28,28626913
2026-07-03 05:25:47,2.28,2.37,2.25,2.34,46442372
2026-07-03 05:40:47,2.34,2.43,2.33,2.39,45191579
2026-07-03 05:55:47,2.39,2.41,2.33,2.36,24623966
2026-07-03 06:10:47,2.36,2.48,2.32,2.43,33692920
2026-07-03 06:25:47,2.43,2.43,2.37,2.41,38595439
2026-07-03 06:40:47,2.41,2.42,2.34,2.35,46434900
2026-07-03 06:55:47,2.35,2.42,2.3,2.38,26603646
2026-07-03 07:10:47,2.38,2.42,2.35,2.39,49006955
2026-07-03 07:25:47,2.39,2.46,2.38,2.45,32739594
2026-07-03 07:40:47,2.45,2.56,2.44,2.53,7829388
2026-07-03 07:55:47,2.53,2.59,2.48,2.57,47255425
2026-07-03 08:10:47,2.57,2.58,2.49,2.53,25075601
2026-07-03 08:25:47,2.53,2.56,2.46,2.48,48763054
2026-07-03 08:40:47,2.48,2.53,2.47,2.51,40901237
2026-07-03 08:55:47,2.51,2.58,2.5,2.53,39959525
2026-07-03 09:10:47,2.53,2.61,2.48,2.57,20335237
2026-07-03 09:25:47,2.57,2.6,2.5,2.55,16014103
2026-07-03 09:40:47,2.55,2.6,2.55,2.56,9350594
2026-07-03 09:55:47,2.56,2.62,2.54,2.6,28896295
2026-07-03 10:10:47,2.6,2.61,2.56,2.6,32081260
